"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Parkinson disease",3.83846062977782e-18,1.18224587397157e-15,1.0959292864312,0.463264060645581,4.56377085871818,106,"UQCRB;NDUFS5;SLC25A5;COX6C;ATP5PF;VDAC1;SLC25A6;NDUFB3;NDUFC2;NDUFA13;NDUFS6;NDUFA4;COX7B;UQCR10;NDUFA8;VDAC2;ATP5F1E;UBE2L3;NDUFB8;ATP5PO;UBE2L6;NDUFB6;NDUFA12;ATP5PD;ATP5MC1;CYCS;NDUFB4;SDHC;PARK7;NDUFS1;NDUFB2;ATP5F1C;COX7A2;NDUFAB1;ATP5MC3;COX6A1;NDUFB5;NDUFV2;SLC25A4;GNAI1;ATP5F1A;NDUFS8;COX5A;ATP5PB;NDUFB9;ATP5F1B;UQCR11;NDUFA9;UBB;NDUFA6;SDHB;UQCRC2;UQCRC1;NDUFA11;NDUFA5;UQCRFS1;SDHA;NDUFA1;VDAC3;GNAI3;UQCRH;UBE2G1;PINK1"
"Oxidative phosphorylation",3.4864829911845e-13,3.57945587094942e-11,0.932595211336209,0.402532544515433,3.98819411623073,104,"UQCRB;NDUFS5;COX6C;ATP5PF;NDUFB3;ATP5MF;NDUFC2;NDUFA13;NDUFS6;ATP6V0E1;NDUFA4;COX7B;UQCR10;NDUFA8;ATP5F1E;NDUFB8;ATP5PO;NDUFB6;NDUFA12;ATP5PD;ATP5MC1;NDUFB4;SDHC;NDUFS1;NDUFB2;ATP5F1C;COX7A2;NDUFAB1;ATP5MC3;COX6A1;NDUFB5;NDUFV2;ATP5F1A;NDUFS8;COX5A;ATP5PB;ATP6V1H;NDUFB9;ATP5F1B;UQCR11;NDUFA9;NDUFA6;SDHB;UQCRC2;UQCRC1;ATP6V1B2;NDUFA11;NDUFA5;ATP6V0D1;UQCRFS1;SDHA;NDUFA1;ATP5ME;UQCRH;COX11"
"Proteasome",7.64877278994815e-11,3.92637003217339e-09,0.839088935621274,0.558211480372147,3.83474162459035,42,"SEM1;POMP;PSME2;PSMB8;PSMA3;PSMA4;PSMB3;PSMB6;PSMA2;PSMD1;PSMB2;PSMD12;PSME3;PSMB1;PSMD2;PSMC6;PSMC2;PSMA1;PSMC4;PSMA5;PSMC1;PSMB7;PSMB5;PSMC3;PSMB9;PSMA7;PSMC5;ADRM1;PSME1;PSMF1;PSMD7;PSMD14;PSMD8;PSMA6;PSMB4;PSMD13;PSMD3;PSMD11;PSMD4"
"Spliceosome",2.32358587312054e-14,3.57832224460563e-12,0.97599468306432,0.370113918755671,3.58406303587473,126,"SRSF5;SNRPE;HNRNPA1;HSPA1A;LSM3;SNRPG;SRSF1;SNRPC;PRPF38B;SNRPD3;HSPA8;HSPA1B;U2SURP;DDX46;EFTUD2;DDX39B;RBM17;DDX5;BUD31;SNRPA1;PCBP1;ZMAT2;MAGOHB;SNRPD1;RBM8A;LSM2;SNRPF;PRPF31;EIF4A3;LSM5;PPIE;SRSF2;SF3B4;MAGOH;BCAS2;DHX15;THOC2;ALYREF;SF3B6;SNRPB;CWC15;SF3B2;SNRPB2;HNRNPA1L2;CRNKL1;HNRNPM;U2AF2;PPIL1;CTNNBL1;RBM25;SF3B5;HNRNPK;SRSF7;SNU13;SLU7;HNRNPA3;SF3B3;SRSF3;PPIH;LSM4;TXNL4A;DDX42;SF3B1;HSPA2;THOC3;LSM7;PLRG1;PRPF3;SNRNP40;HNRNPU;USP39;SRSF6;ISY1;SRSF10;SRSF4;SNRNP70;LSM6;PHF5A;TRA2B;TCERG1;RBMX;SRSF9;PRPF6;PQBP1;TRA2A;HNRNPC;NCBP1;PUF60;PRPF40A;PRPF19;SF3A3;SF3A1;SNW1;SNRPA;SMNDC1;PRPF8;SNRPD2;ACIN1;LSM8;WBP11"
"Alzheimer disease",6.72669341633293e-12,4.14364314446109e-10,0.887074988399873,0.334624240577138,3.37829196668044,129,"GAPDH;UQCRB;NDUFS5;COX6C;ATP5PF;NDUFB3;NDUFC2;NDUFA13;NDUFS6;NDUFA4;COX7B;UQCR10;NDUFA8;FADD;ATP5F1E;CAPN2;NDUFB8;ATP5PO;NDUFB6;NDUFA12;ATP5PD;CAPN1;ATP5MC1;CYCS;NDUFB4;SDHC;NDUFS1;NDUFB2;ATP5F1C;COX7A2;CALM1;NDUFAB1;ATP5MC3;COX6A1;NDUFB5;NDUFV2;TNFRSF1A;PSENEN;ATP5F1A;NDUFS8;COX5A;ATP5PB;NDUFB9;ATP5F1B;UQCR11;NDUFA9;NDUFA6;CALM2;NAE1;SDHB;UQCRC2;UQCRC1;NDUFA11;NDUFA5;UQCRFS1;SDHA;RTN3;NDUFA1;CDK5;IL1B;UQCRH;ATF6;APH1B;CASP3"
"Huntington disease",7.78973867012849e-13,5.99809877599894e-11,0.921426003494898,0.321893889024233,3.3760117239411,150,"UQCRB;NDUFS5;SLC25A5;COX6C;POLR2F;ATP5PF;VDAC1;SLC25A6;NDUFB3;NDUFC2;NDUFA13;NDUFS6;NDUFA4;COX7B;UQCR10;NDUFA8;VDAC2;ATP5F1E;POLR2K;NDUFB8;ATP5PO;NDUFB6;NDUFA12;ATP5PD;SOD1;ATP5MC1;CYCS;NDUFB4;SDHC;NDUFS1;NDUFB2;AP2B1;ATP5F1C;COX7A2;NDUFAB1;ATP5MC3;COX6A1;NDUFB5;NDUFV2;HDAC1;SLC25A4;ATP5F1A;NDUFS8;COX5A;ATP5PB;NDUFB9;ATP5F1B;UQCR11;NDUFA9;NDUFA6;SDHB;UQCRC2;UQCRC1;NDUFA11;NDUFA5;BBC3;POLR2G;UQCRFS1;SDHA;POLR2L;AP2S1;CLTA;NDUFA1;POLR2I;VDAC3;AP2M1;TP53;UQCRH"
"Ribosome",1.31406162765972e-07,3.37275817765996e-06,0.690132458796796,0.437957707566337,3.22714634240268,46,"UBA52;MRPL13;MRPS18C;MRPL22;MRPS14;MRPS18A;MRPS17;MRPL2;MRPL28;MRPL23;MRPS7;MRPS11;MRPL27;MRPL21;MRPL1;MRPS12;MRPL3;MRPL33;MRPS10;MRPL35;MRPS21;MRPL36;MRPL12;MRPL18;MRPL4;MRPS2;MRPL24;MRPL11;RSL24D1;MRPS15;MRPS6;MRPL15;MRPS16;MRPL16;MRPL17;FAU;MRPL32;MRPL19;MRPL14;MRPS9;MRPS5"
"DNA replication",6.41232583254915e-07,1.51922796648088e-05,0.659444398037935,0.497981827042315,3.10401925393221,35,"SSBP1;RPA3;POLE3;POLE4;RFC5;POLD2;RFC3;FEN1;MCM4;PRIM1;POLD3;RFC4;PCNA;MCM2;DNA2;RFC1;MCM7;MCM6;MCM3;POLE;MCM5;RFC2;PRIM2;LIG1;RPA1;RNASEH2C;RNASEH2A;POLA2;POLE2;RNASEH2B;POLD1"
"Cell cycle",5.13827816126889e-09,1.97823709208852e-07,0.761460801445585,0.306393681014689,3.04183608617794,115,"MYC;RBX1;PRKDC;YWHAB;CDC26;SKP1;PTTG1;YWHAZ;HDAC1;CCNB2;ANAPC7;WEE1;CCNB1;CDK6;YWHAH;PLK1;CDKN1A;ANAPC5;E2F1;CCNE2;CDC20;GADD45A;STAG2;CDKN1C;TP53;ANAPC4;MCM4;CDC23;MAD1L1;GADD45B;CDC6;ANAPC11;ANAPC13;ORC5;PCNA;PKMYT1;MCM2;BUB3;ORC1;CDK4;RAD21;TFDP1;MCM7;HDAC2;DBF4;MAD2L1;SMC3;MCM6;CDK1;MCM3;CHEK2;CDK2;BUB1;CDKN2C;YWHAG;CCNE1;MAD2L2;CCNH;MCM5;SKP2;CHEK1;CDC45;E2F2;TTK;CDC25A;CCNA2;SFN;CDKN2D;SMAD3;CDC7;SMC1A;ORC6;CDC25C;RBL1;YWHAQ;BUB1B;ANAPC2;CUL1;ESPL1;ORC3;EP300;TFDP2;RB1;CDKN1B;CCND3;ANAPC1;ORC4;STAG1;E2F3;CREBBP;CDC16;YWHAE"
"Antigen processing and presentation",4.48827464415073e-06,9.21592393598949e-05,0.610526878385931,0.472581329464659,2.94115652927364,34,"HSP90AB1;HSPA5;HSPA1A;PSME2;HLA-B;CALR;HSPA8;HSPA1B;RFXANK;TAPBP;B2M;PSME3;TAP2;TAP1;HLA-A;HSPA4;HLA-F;HLA-C;NFYC;PSME1;HSPA2;PDIA3;CTSL;HSP90AA1;NFYB;HLA-E;LGMN"
