"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"Interferon alpha/beta signaling Homo sapiens R-HSA-909733",5.65262366527424e-06,0.000868351921399036,0.712642726722491,3.7882321541209,0,29,"EGR1;ISG15;HLA-B;IFI6;HLA-A;IFITM3;SOCS1;HLA-E;HLA-C;STAT1;IFITM1;IFI27;STAT2;XAF1;IFI35;SAMHD1;SOCS3;ADAR;PSMB8"
"Interferon gamma signaling Homo sapiens R-HSA-877300",6.75502235912401e-06,0.000868351921399036,0.55214406419984,3.16840933353526,0,36,"GBP1;HLA-B;B2M;HLA-A;SOCS1;HLA-E;HLA-C;STAT1;TRIM38;GBP3;MT2A;TRIM25;SOCS3;PML;TRIM22;SP100;TRIM5;IRF2;SUMO1"
"Antigen processing-Cross presentation Homo sapiens R-HSA-1236975",1.27793894007744e-05,0.000868351921399036,0.443169529053011,3.03891009673589,0,64,"HLA-B;B2M;HLA-A;HLA-E;HLA-C;TAP1;PSME2;TAPBP;PSMA7;UBC;CALR;PSMB6;PSMB8;UBB;PSMB5;UBA52;PDIA3;CYBA;PSMB3;PSMD9;PSMA3;SEC61G;PSMC3;PSMB1;SEC61B;PSMC5;PSMB2;PSMA4;CTSL;PSMD8;ITGB5;PSMD2;PSMB7;PSMC4;PSMC2;PSMD14;PSMD11;PSMB9;PSMD7;PSMC1;PSME1;PSMA5;PSMA2;PSMD12;PSMD1;PSMD4;MRC2;PSMA1;SEC61A1"
"ER-Phagosome pathway Homo sapiens R-HSA-1236974",1.11758066138424e-05,0.000868351921399036,0.448343564786472,2.9908702108746,0,58,"HLA-B;B2M;HLA-A;HLA-E;HLA-C;TAP1;PSME2;TAPBP;PSMA7;UBC;CALR;PSMB6;PSMB8;UBB;PSMB5;UBA52;PDIA3;PSMB3;PSMD9;PSMA3;SEC61G;PSMC3;PSMB1;SEC61B;PSMC5;PSMB2;PSMA4;PSMD8;PSMD2;PSMB7;PSMC4;PSMC2;PSMD14;PSMD11;PSMB9;PSMD7;PSMC1;PSME1;PSMA5;PSMA2;PSMD12;PSMD1;PSMD4"
"Interferon Signaling Homo sapiens R-HSA-913531",2.70109664523797e-05,0.00110745236064999,0.38893606765137,2.98276747296207,0,100,"GBP1;EGR1;ISG15;HLA-B;IFI6;B2M;HLA-A;IFITM3;SOCS1;HLA-E;HLA-C;STAT1;TRIM38;GBP3;IFITM1;MT2A;IFI27;STAT2;XAF1;IFI35;TRIM25;SAMHD1;SOCS3;PML;UBC;ADAR;TRIM22;PSMB8;UBB;UBA52;SP100;TRIM5;IRF2;SUMO1;PIN1"
"Translation Homo sapiens R-HSA-72766",1.304495290772e-05,0.000868351921399036,0.432638566537666,2.98009049940221,0,65,"EEF1A1;EEF2;EEF1B2;UBA52;SSR4;SSR2;EEF1D;SRP14;FAU;EIF4EBP1;EIF3F;EIF3K;SRP9;TRMT112;EIF3L;PABPC1;SEC61G;EIF2S2;DDOST;SPCS1;EIF4A1;SEC11A;EIF4A2;SPCS3;EIF1AX;SPCS2;SEC61B;EIF5B;SSR1;EIF3E;RPN1;EIF3H;RPN2;TRAM1;EIF3I;EIF5;EIF3D;EIF3G;SSR3;SEC11C"
"Detoxification of Reactive Oxygen Species Homo sapiens R-HSA-3299685",4.83045116413873e-06,0.000868351921399036,0.608421614071905,2.9619859119252,0,23,"SOD2;GSTP1;PRDX5;P4HB;PRDX1;ATOX1;CYBA;PRDX2;GPX1;SOD1;TXN;GPX7;PRDX6;PRDX3;TXN2;GPX8;CYCS"
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. Homo sapiens R-HSA-163200",2.8725726760887e-05,0.00110745236064999,0.380158890540846,2.93363333618608,0,103,"NDUFA4;COX6A1;NDUFB11;NDUFB10;UQCRQ;COX8A;ATP5D;COX4I1;NDUFA11;UQCRH;ATP5G2;NDUFB8;NDUFAF3;NDUFA13;ATP5L;ETFB;NDUFS5;NDUFS8;NDUFB2;COX5A;ATP5G3;NDUFS6;ATP5G1;COX5B;UQCR11;COX7A2L;NDUFB9;SCO2;ATP5O;ATP5J;ATP5H;NDUFA6;NDUFB7;UQCRB;NDUFC2;NDUFAF2;CYC1;NDUFAB1;UQCRFS1;COX6C;COX19;NDUFA8;NDUFB6;SDHD;ATP5B;NDUFS7;ATP5J2;SDHC;NDUFS4;ATP5C1;NDUFA12;ATP5A1;NDUFAF4;ATP5F1;ATP5E;COX14;CYCS;UQCRC1;COX6B1;NDUFV2;UQCR10"
"Platelet degranulation Homo sapiens R-HSA-114608",8.97046027431668e-06,0.000868351921399036,0.463895108683707,2.92213072413445,0,48,"FN1;THBS1;SPARC;TIMP1;CFL1;PFN1;CD63;ALDOA;PPIA;CALU;TMSB4X;ISLR;SOD1;TGFB1;PSAP;SERPING1;HSPA5;APLP2;CAP1;CALM1;TIMP3;WDR1;VEGFC;LGALS3BP;CDC37L1;ACTN4;GAS6;FAM3C;SERPINE1;CLU;A1BG;ECM1;FLNA"
"SRP-dependent cotranslational protein targeting to membrane Homo sapiens R-HSA-1799339",5.0935948045333e-06,0.000868351921399036,0.571998188316758,2.87720095134858,0,25,"UBA52;SSR4;SSR2;SRP14;FAU;SRP9;SEC61G;DDOST;SPCS1;SEC11A;SPCS3;SPCS2;SEC61B;SSR1;RPN1;RPN2;TRAM1;SSR3;SEC11C"
