"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Neuronal System Homo sapiens R-HSA-112316",1.29317858919258e-26,1.85829763266973e-23,1.33449749081658,0.420287079898566,6.0428081715409,178,"AKAP5;ADCY5;GNAL;GRIN2B;AKAP9;SYN2;SLC17A7;PRKCA;GRIA2;KCNH7;GAD1;ARHGEF9;GNB2;CALM1;SLC1A2;KCND3;GABRA4;COMT;GABBR2;KCNQ5;DLG4;GNG3;NSF;RASGRF2;GRIA3;KCND2;ADCY1;VAMP2;KCNJ9;SLC6A1;GABRG2;GNB1;KCNC1;CACNA1A;NCALD;PTPRS;STXBP1;CAMK4;KCNMA1;RAB3A;CACNG2;BRAF;PRKCB;MAPK1;GABRA1;NPTN;STX1A;RIMS1;RTN3;GNB5;GRIK2;HSPA8;DNAJC5;CACNA2D1;KCNK2;CACNA1E;GNG7;GRIK5;GRIN1;KCNK1;CAMK2B;PTPRD;KCNH3;KCNA4;APBA1;KCNAB1;GNG4;SLC38A2;GABRA2;KCNB1;CAMK2A;PRKACA;DLG3;GNG2;CACNB2;CAMK2D;GABBR1;KCNQ3;SLC38A1;PLCB1;KCNA1;SNAP25;SYT1;SYN1;AP2A2;FLOT1;PPFIA2;KCNQ2;ADCY9;GABRB3;KCNG1;CACNB1;KCNJ4;LIN7B;CREB1;CACNG4;GLUL;AP2B1;PTPRF;KCNV1;PRKCG;PDPK1;KCNC3;ACHE;GRIP1;ACTN2;ABAT;KCNJ3;RASGRF1;KCNS2;CACNB4;GRIA1;KCNMB4;KCNJ2;CACNA1B;GABRG3;GABRB1;ADCY2;CACNA2D3;KCNAB2;KCNF1;HCN2;KCNA5;CASK;BZRAP1;GNAI1;CAMK2G;GABRA3;ADCY3;CACNA2D2;KCNH1"
"Signaling by GPCR Homo sapiens R-HSA-372790",1.56389783813425e-25,1.12366059669946e-22,1.31101476274061,0.328170908671719,5.8587835017133,295,"PPP3CA;PPP1R1B;RGS9;ADCY5;GNAL;UBB;PENK;CCK;SPRED1;RAMP1;GRIN2B;AKAP9;PDE1B;PRKCA;PDE10A;CX3CL1;RGS17;GRM5;ARHGEF9;GNB2;CALM1;PRKAR1B;PSMB5;RGS8;DGKB;GNAQ;PSAP;PSMA1;RGS4;GABBR2;PSMB10;DGKE;PSMA2;PSMA6;DLG4;GNG3;CNR1;ADCYAP1R1;RASGRF2;ADCY1;DGKG;GPR83;PEBP1;PPP1CA;ARHGEF12;GNAS;GNB1;APP;NCAM1;GRM1;CUL3;CNKSR2;NPY;HBEGF;FGFR1;ERBB4;CAMK4;TAC1;DGKZ;GFRA1;ITPR1;BRAF;PRKCB;MAPK1;PSMD14;MAP2K1;PSME1;HEBP1;PSMB4;PLCB4;GNB5;ARHGEF25;LAMTOR2;GNG7;GRIN1;PSMA4;PRKAR1A;PSMA3;PDE1A;PDYN;CAMK2B;PDGFA;PDE4A;SPTBN1;PSMC6;UBA52;UBC;RASGRP1;PSMA5;SST;GNG4;ADORA2A;RASGEF1A;ROCK2;PSMB3;PRKCE;PDE2A;CAMK2A;PDE4B;RASA2;PDE7B;PRKACA;PRKCH;FGD4;GNG2;KALRN;CAMK2D;ADRBK2;GABBR1;PPP3R1;PPP2R5A;FGF9;PSMD4;PPP2R5D;P2RY1;PSMC5;PLCB1;RGS2;ARAF;MCHR1;RGS10;ARHGEF2;ARRB2;OPRK1;HTR1B;RGS20;NGEF;OPRL1;PSMB6;ABR;ADCY9;GRM3;DUSP8;RAPGEF2;PPP5C;CREB1;MGLL;PSMD12;RASAL2;AHCYL1;PPP3CB;CHRM1;RBX1;FZD3;SPTBN4;PRKCG;PDPK1;PHB;ARHGEF7;PSMB7;SPTAN1;CDC42;ADORA1;DGKH;PSMC4;ADRA2C;SRC;ACTN2;GNAO1;PSMB2;RASGRF1;YWHAB;RGS14;HRH3;GRM4;JAK2;SPTBN2;RASGRP2;ARHGEF17;KSR2;DGKI;SPTB;RHOB;NPY1R;ADCY2;TIAM2;GNAZ;PSMC2;GNAI1;SOS1;CAMK2G;NF1;ABHD12;PDE1C;ADCY3"
"Axon guidance Homo sapiens R-HSA-422475",2.69533234566455e-21,9.68298145179989e-19,1.19534448258848,0.295818371132412,5.29751486586622,297,"UBB;SCN4B;ACTB;SPRED1;SCN8A;GRIN2B;AKAP9;ARPC2;HSP90AB1;SRGAP1;CALM1;ANK2;DNM1;PSMB5;NFASC;SCN3A;PSMA1;PIP5K1C;EPHA7;AGAP2;SRGAP3;PSMB10;PSMA2;PSMA6;DLG4;SCN1B;GPC1;HSP90AA1;SEMA6D;RASGRF2;CNTN1;CDK5R1;EFNB2;ROBO2;PEBP1;CLTA;ARHGEF12;DNM3;ALCAM;NCAM1;CLTC;EPHA4;MYH10;CUL3;CNKSR2;HBEGF;FGFR1;ERBB4;EFNA5;UNC5D;GFRA1;BRAF;MAPK1;PLXNA4;PSMD14;MAP2K1;PSME1;CNTN2;PAK3;PSMB4;GSK3B;HSPA8;CSNK2B;EPHA5;LAMTOR2;DPYSL3;GRIN1;PAK7;PSMA4;PSMA3;CAMK2B;PDGFA;SPTBN1;PSMC6;UBA52;ARHGEF28;UBC;RASGRP1;SCN2B;ANK3;PSMA5;CACNA1I;NRCAM;RASGEF1A;ROCK2;PSMB3;PLXND1;CAMK2A;RASA2;CHL1;DLG3;KALRN;CACNB2;CAMK2D;MYL12B;PPP2R5A;FGF9;SCN1A;PSMD4;KCNQ3;PPP2R5D;NRP2;ACTR2;SCN3B;MYL6;PSMC5;NCAN;L1CAM;ARAF;CAP1;PITPNA;CLTB;ARRB2;EPHB1;AP2A2;PLXNA2;NRP1;NGEF;SH3GL2;PSMB6;KCNQ2;CACNA1C;CRMP1;DUSP8;RAPGEF2;CACNB1;PFN1;PPP5C;CREB1;PSMD12;RASAL2;AP2B1;ABLIM2;RDX;RBX1;SPTBN4;GIT1;PHB;ARHGEF7;PSMB7;PAK1;SPTAN1;CDC42;CFL1;ITGAV;SEMA4A;DPYSL2;PSMC4;SRC;SLIT3;PLXNC1;ACTN2;PSMB2;PSEN2;RASGRF1;YWHAB;ARPC3;CACNB4;JAK2;SPTBN2;UNC5A;KSR2;SPTB;ADAM10;RHOB;ACTR3;PRNP;ACTG1;ARPC1A;PSMC2;ABL2;SEMA3E;SOS1;CAMK2G;ABLIM1;CAP2;NF1;SHB;CNTNAP1"
"Transmission across Chemical Synapses Homo sapiens R-HSA-112315",3.81966529831725e-20,9.1480983894698e-18,1.16017957183021,0.403666638252036,5.28326691928044,141,"AKAP5;ADCY5;GNAL;GRIN2B;AKAP9;SYN2;SLC17A7;PRKCA;GRIA2;GAD1;ARHGEF9;GNB2;CALM1;SLC1A2;GABRA4;COMT;GABBR2;DLG4;GNG3;NSF;RASGRF2;GRIA3;ADCY1;VAMP2;KCNJ9;SLC6A1;GABRG2;GNB1;CACNA1A;NCALD;STXBP1;CAMK4;RAB3A;CACNG2;BRAF;PRKCB;MAPK1;GABRA1;NPTN;STX1A;RIMS1;GNB5;GRIK2;HSPA8;DNAJC5;CACNA2D1;CACNA1E;GNG7;GRIK5;GRIN1;CAMK2B;APBA1;GNG4;SLC38A2;GABRA2;CAMK2A;PRKACA;DLG3;GNG2;CACNB2;CAMK2D;GABBR1;SLC38A1;PLCB1;SNAP25;SYT1;SYN1;AP2A2;PPFIA2;ADCY9;GABRB3;CACNB1;KCNJ4;LIN7B;CREB1;CACNG4;GLUL;AP2B1;PRKCG;PDPK1;ACHE;GRIP1;ACTN2;ABAT;KCNJ3;RASGRF1;CACNB4;GRIA1;KCNJ2;CACNA1B;GABRG3;GABRB1;ADCY2;CACNA2D3;CASK;BZRAP1;GNAI1;CAMK2G;GABRA3;ADCY3;CACNA2D2"
"Signal Transduction Homo sapiens R-HSA-162582",1.05737689863892e-23,5.06483534448041e-21,1.26273988547916,0.198094942745278,5.21453563681788,855,"PPP3CA;ATP2A2;PPP1R1B;RGS9;ADCY5;GNAL;UBB;ACTB;PENK;CCK;SPRED1;CHN1;RAMP1;GRIN2B;AKAP9;PDE1B;ARPC2;PRKCA;PDE10A;SCAI;CX3CL1;RGS17;GRM5;POLR2G;ARHGEF9;SRGAP1;GNB2;CALM1;RRAGD;RHEB;PRKAR1B;DNM1;PSMB5;RGS8;DGKB;ATP6V1D;BRK1;GNAQ;PSAP;SQSTM1;MEF2C;PSMA1;PIP5K1C;LINGO1;NCKAP1;RGS4;USP2;NTRK2;GABBR2;YWHAG;SRGAP3;PSMB10;DGKE;DAAM1;PSMA2;PSMA6;DLG4;GNG3;CNR1;GPC1;HSP90AA1;ADCYAP1R1;ATP6V0B;RAB6A;ATP6V0A1;RASGRF2;CNTN1;POLR2J;ADCY1;SPRY2;DGKG;RIT2;GPR83;KIF5A;SNX3;PEBP1;JUN;CLTA;PPP1CA;ARHGEF12;GNAS;GNB1;DNM3;APP;IQGAP2;KIDINS220;NGFRAP1;CLIP3;YWHAE;CCND1;BCR;NCAM1;CLTC;MYH10;GRM1;ARHGAP20;CUL3;KLC1;CNKSR2;NPY;HBEGF;DISP2;FGFR1;ERBB4;USP34;ZWINT;CAMK4;KTN1;TAC1;CDC37;RRAGB;DGKZ;TAX1BP1;APC;LPL;ATP6V1F;GFRA1;ITPR1;BRAF;PRKCB;FKBP1A;MAPK1;PMEPA1;PSMD14;MAP2K1;PSME1;ABI2;BMPR2;HEBP1;POLR2E;PAK3;PSMB4;CYFIP2;PLCB4;KIF3A;TCF4;PARD3;PTK2B;GNB5;GSK3B;SDC3;ARHGEF25;CSNK2B;LAMTOR2;NEDD8;GNG7;GRIN1;METAP2;IFT57;DLC1;SEC13;PSMA4;PRKAR1A;SNW1;PSMA3;PDE1A;YWHAQ;PDYN;CAMK2B;TNRC6B;PDGFA;PDE4A;HNRNPH1;SPTBN1;PSMC6;UBA52;CHN2;KHDRBS3;UBC;MIB1;RASGRP1;ARHGDIB;VPS26A;MYO9A;PSMA5;FLRT1;HNRNPM;ARHGAP10;SST;MAGED1;NUDC;TAOK1;GNG4;HECW1;HDAC2;ARHGDIG;ADORA2A;ATP6V1E1;RASGEF1A;ROCK2;PSMB3;PRKCE;FOXO1;MADD;PDE2A;CAMK2A;NCOR1;ABI1;PDE4B;ATP6V1G2;GRB10;RASA2;PDE7B;POLR2I;PRKACA;PRKCH;FGD4;GNG2;PIP5K1A;KALRN;SKIL;CAMK2D;ADRBK2;KHDRBS2;GABBR1;MYL12B;PPP3R1;PPP2R5A;FGF9;PSMD4;PPP1CB;PPP2R5D;NRP2;ACTR2;UCHL5;SOX4;SMPD3;ARHGAP26;P2RY1;MYL6;ATP6V0D1;KIF2A;BAIAP2;PSMC5;PLCB1;EPS15;SEPT7;SOX2;RGS2;STUB1;ARAF;MCHR1;RGS10;ARHGAP5;ARHGEF2;MAPKAP1;RXRG;CLTB;ARRB2;OPRK1;LAMTOR5;DNER;HTR1B;ACVR1C;AP2A2;CIT;JUNB;NRP1;RGS20;NGEF;PPP1R12A;SH3GL2;OPRL1;PSMB6;AGO2;TNRC6C;PTEN;HIST1H2BC;DZIP1;ARHGAP33;ABR;GDI2;TNRC6A;NEDD4L;ADCY9;CYLD;AHCTF1;LRP6;CREBBP;RANBP2;POLR2K;LRP1;PDHA1;ATP6V1A;ERLEC1;GRM3;DUSP8;RAPGEF2;VPS29;PFN1;SEL1L;LIN7B;FBXW7;PPP5C;RAC3;CREB1;EIF4E;SKI;MGLL;PSMD12;GNB2L1;FLRT2;RASAL2;AHCYL1;H2AFZ;INSR;TAB2;LRP8;PPP3CB;CUL5;AP2B1;CHRM1;YWHAH;LAMTOR4;APOE;RBX1;FZD3;INHBA;PIP4K2B;ELK1;SPTBN4;PRKCG;PDPK1;PHB;ARHGEF7;MEF2A;ARHGAP44;ATP6V0E2;PSMB7;NLK;PAK1;SPTAN1;CDC42;ATP6V1G1;ADORA1;DGKH;MAPK8;ITGAV;PSMC4;ADRA2C;SRC;SORCS3;DUSP3;ARHGAP32;CDC42EP3;TFDP2;RBP4;ACTN2;AMOTL1;GNAO1;ATP6AP1;PSMB2;PSEN2;RASGRF1;RHOBTB2;YWHAB;PTPN1;ARPC3;RGS14;SMAD4;DRAP1;ATP6V1B2;TLE4;PDK1;RTN4;HRH3;GRM4;JAK2;SPTBN2;HDAC11;RASGRP2;MAPK4;ARHGEF17;FABP5;WIPF3;OS9;CKAP5;KSR2;DGKI;FLRT3;SPTB;CCNT1;FNTA;RHOQ;RANGAP1;DLK1;ADAM10;RHOB;ACTR3;NPY1R;ADCY2;RBFOX2;AR;TIAM2;ACTG1;ARPC1A;GNAZ;PSMC2;TBL1X;POLR2F;PPP1CC;HGS;HDAC4;GNAI1;RPTOR;YWHAZ;LAMTOR1;TNKS2;PAFAH1B1;IRAK1;RAPGEF4;SOS1;BCL9"
"Developmental Biology Homo sapiens R-HSA-1266738",1.80953112854295e-20,5.20059246343245e-18,1.16906996676109,0.248893515078149,5.20566864441831,422,"UBB;SCN4B;ACTB;SPRED1;SCN8A;GRIN2B;AKAP9;ARPC2;HSP90AB1;POLR2G;SRGAP1;CALM1;ANK2;DNM1;PSMB5;NFASC;SCN3A;MEF2C;PSMA1;PIP5K1C;EPHA7;LGI3;AGAP2;SRGAP3;PSMB10;PSMA2;PSMA6;DLG4;SCN1B;GPC1;HSP90AA1;SEMA6D;RASGRF2;CNTN1;CDK5R1;POLR2J;EFNB2;ROBO2;PEBP1;JUN;CLTA;ARHGEF12;DNM3;ALCAM;NCAM1;CLTC;EPHA4;MYH10;CUL3;CNKSR2;HBEGF;NCOA1;FGFR1;ERBB4;MED28;EFNA5;KMT2C;ADAM23;LPL;UNC5D;GFRA1;CACNG2;BRAF;MAPK1;PLXNA4;PSMD14;MAP2K1;PSME1;POLR2E;SPAG9;CNTN2;PAK3;STX1A;PSMB4;TCF4;GSK3B;HSPA8;CSNK2B;EPHA5;LAMTOR2;DPYSL3;GRIN1;PAK7;PSMA4;PSMA3;MED31;CAMK2B;PDGFA;SPTBN1;PSMC6;UBA52;ARHGEF28;UBC;RASGRP1;SCN2B;ANK3;PSMA5;CACNA1I;NRCAM;RASGEF1A;ROCK2;PSMB3;PLXND1;CDH2;FOXO1;CAMK2A;NCOR1;LGI2;RASA2;POLR2I;CHL1;DLG3;KALRN;CACNB2;CAMK2D;MYL12B;PPP2R5A;FGF9;SCN1A;SMARCD3;PSMD4;KCNQ3;PPP2R5D;NRP2;MED1;ACTR2;SCN3B;MYL6;PSMC5;SOX2;NCAN;CDK19;L1CAM;ARAF;CAP1;MED30;PITPNA;CLTB;ARRB2;EPHB1;ACVR1C;AP2A2;PBX1;PLXNA2;NRP1;NGEF;SH3GL2;PSMB6;HIST1H2BC;EBF1;KCNQ2;CREBBP;POLR2K;CACNA1C;CRMP1;DUSP8;RAPGEF2;CACNB1;PFN1;PPP5C;CREB1;PSMD12;CACNG4;RASAL2;H2AFZ;AP2B1;ABLIM2;RDX;RBX1;SPTBN4;GIT1;PHB;ARHGEF7;MEF2A;PSMB7;PAK1;PPARGC1A;SPTAN1;CDC42;CFL1;ITGAV;SEMA4A;DPYSL2;TSC22D1;MED13L;PSMC4;SRC;SLIT3;PLXNC1;ACTN2;KLF5;PSMB2;PSEN2;RASGRF1;YWHAB;ARPC3;ADAM11;SMAD4;DRAP1;CACNB4;JAK2;SPTBN2;UNC5A;KSR2;SPTB;ADAM10;RHOB;ACTR3;PRNP;ACTG1;ARPC1A;PSMC2;TBL1X;MED13;ABL2;RBBP7;POLR2F;SEMA3E;SOS1;CAMK2G;ABLIM1;CAP2;NF1;SHB;CNTNAP1;NCOA2;ADAM22;AGRN;STX1B;MED27;CTCF;EZH2;MAPK14;ITSN1;CTNNB1;H3F3A;AKT2;AP2S1;KRAS;CACNB3;RARB;MED6;DCX;JAK1;RASA3;AP2M1;PSENEN;PSMB1;PSMA7;CLASP2;NRAS;EFNB3;POLR2A;H2AFX;CACNG3;EP300;PTK2;SMAD3;MEF2D;LGI1;PSMD8;PSMD6;ACVR1B"
"GPCR downstream signaling Homo sapiens R-HSA-388396",2.41265874572561e-17,4.95284373943957e-15,1.07686819261983,0.368012202677026,4.95528986439189,148,"RGS9;ADCY5;GNAL;PENK;CCK;RAMP1;PDE1B;PRKCA;PDE10A;RGS17;GRM5;ARHGEF9;GNB2;RGS8;DGKB;GNAQ;RGS4;GABBR2;DGKE;GNG3;CNR1;ADCYAP1R1;RASGRF2;ADCY1;DGKG;GPR83;ARHGEF12;GNAS;GNB1;APP;GRM1;NPY;TAC1;DGKZ;ITPR1;PRKCB;HEBP1;PLCB4;GNB5;ARHGEF25;GNG7;PDE1A;PDYN;PDE4A;RASGRP1;SST;GNG4;ADORA2A;ROCK2;PRKCE;PDE2A;PDE4B;PDE7B;PRKCH;FGD4;GNG2;KALRN;ADRBK2;GABBR1;P2RY1;PLCB1;RGS2;MCHR1;RGS10;ARHGEF2;ARRB2;OPRK1;HTR1B;RGS20;NGEF;OPRL1;ABR;ADCY9;GRM3;MGLL;CHRM1;PRKCG;PDPK1;ARHGEF7;CDC42;ADORA1;DGKH;ADRA2C;RGS14;HRH3;GRM4;JAK2;RASGRP2;ARHGEF17;DGKI;RHOB;NPY1R;ADCY2;TIAM2;GNAZ;GNAI1;SOS1;ABHD12;ADCY3;GRK6;ITSN1;AKT2;ADRBK1"
"Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell Homo sapiens R-HSA-112314",1.83972661149598e-15,3.30460892589966e-13,1.00731795687447,0.443036788513888,4.72165273324055,88,"AKAP5;ADCY5;GNAL;GRIN2B;AKAP9;PRKCA;GRIA2;ARHGEF9;GNB2;CALM1;GABRA4;GABBR2;DLG4;GNG3;NSF;RASGRF2;GRIA3;ADCY1;KCNJ9;GABRG2;GNB1;NCALD;CAMK4;CACNG2;BRAF;PRKCB;MAPK1;GABRA1;NPTN;GNB5;GRIK2;GNG7;GRIK5;GRIN1;CAMK2B;GNG4;GABRA2;CAMK2A;PRKACA;DLG3;GNG2;CAMK2D;GABBR1;PLCB1;AP2A2;ADCY9;GABRB3;KCNJ4;CREB1;CACNG4;AP2B1;PRKCG;PDPK1;GRIP1;ACTN2;KCNJ3;RASGRF1;GRIA1;KCNJ2;GABRG3;GABRB1;ADCY2;GNAI1;CAMK2G;GABRA3;ADCY3"
"Cardiac conduction Homo sapiens R-HSA-5576891",8.03133469652894e-14,1.0491843599011e-11,0.954541630725724,0.478842938925131,4.58581581444019,68,"ATP2A2;ATP2B1;SCN4B;SCN8A;AKAP9;ATP1A1;CALM1;SLC8A2;ATP2B2;SCN3A;KCND3;SCN1B;KCND2;KCNIP1;ITPR1;CACNG2;FXYD6;FXYD7;ATP1B1;CACNA2D1;KCNK2;KCNK1;CAMK2B;KCNIP3;SCN2B;CAMK2A;PRKACA;ATP1A3;KCNIP2;CACNB2;CAMK2D;SCN1A;SCN3B;ATP2B4;CACNA1C;RYR2;CACNB1;KCNJ4;CACNG4;AHCYL1;FGF14;FXYD2;HIPK1;ATP1B2;CACNB4;RYR3;KCNJ2;CACNG5;CACNA2D3;ASPH;CACNG7;CAMK2G;FGF12;CACNA2D2"
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. Homo sapiens R-HSA-163200",1.42116765332709e-14,2.26913101981225e-12,0.97599468306432,0.402378411985472,4.57509074272015,102,"NDUFA1;ATP5G1;NDUFB10;COX6B1;COX6A1;ATP5J;NDUFS8;COX8A;NDUFA4;NDUFB2;NDUFV1;COX7C;SDHD;UQCR10;ATP5E;ATP5L;ATP5C1;CYCS;COX7B;ATP5A1;NDUFA7;ATP5D;UQCR11;ATP5H;NDUFA11;COX14;NDUFC1;UQCRC2;NDUFA13;NDUFB4;NDUFB8;UQCRC1;NDUFAB1;ATP5B;ATP5J2;NDUFB6;NDUFB9;NDUFS6;UQCRH;COX5A;NDUFV2;NDUFB3;UQCRB;ATP5G3;COX7A2L;NDUFB7;UQCRQ;COX4I1;ATP5F1;ATP5O;NDUFS3;NDUFS7;NDUFB11;NDUFA3;NDUFV3;COX20;NDUFS4;UQCRFS1;NDUFB5;NDUFS5;NDUFA8;NDUFA5;CYC1;NDUFA6;COX6C;NDUFA12;SDHB;COX5B;NDUFAF2"
